"ID";"Деталь";"Артикул";"Ссылка";"Минимум_заказа";"Потребность_1";"Потребность_4";"Потребность_6";"Покупка_1";"Покупка_4";"Покупка_6";"Цена_1";"Цена_4";"Цена_6";"Расход_1";"Расход_4";"Расход_6";"Остаток";"Склад";"Привоз_Чебоксары";"Статус";"Дата_проверки"
"CHG-887-ONE";"BQ25887RGE";"8002949833";"https://www.chipdip.ru/product/bq25887rge-texas-instruments-8002949833";"1";"1";"4";"6";"1";"4";"6";"630";"520";"462";"630";"2080";"2772";"566";"Москва";"2026-09-21";"Кандидат B; точный суффикс упаковки сверить";"2026-09-14"
"CHG-887-LOT";"BQ25887RGER";"8050011937";"https://www.chipdip.ru/product/bq25887rger-texas-instruments-8050011937";"6";"1";"4";"6";"6";"6";"6";"280";"280";"280";"1680";"1680";"1680";"9";"Москва";"2026-09-21";"Альтернатива CHG-887-ONE, минимум 6";"2026-09-14"
"CHG-886";"BQ25886RGER";"8017656287";"https://www.chipdip.ru/product/bq25886rger-vqfn-24-ep-4x4-battery-texas-instruments-8017656287";"1";"1";"4";"6";"1";"4";"6";"480";"480";"480";"480";"1920";"2880";"6948";"Не указан, срок 5–6 недель";"2026-10-23";"Кандидат A, не готовая плата";"2026-09-14"
"BAL-29209";"BQ29209DRBR";"8029430708";"https://www.chipdip.ru/product/bq29209drbr-texas-instruments-8029430708";"7";"1";"4";"6";"7";"7";"7";"79";"79";"79";"553";"553";"553";"391";"Москва";"2026-09-21";"Вторичная защита/балансировка, не полная BMS";"2026-09-14"
"WD-3431";"TPS3431SDRBR";"8043827819";"https://www.chipdip.ru/product/tps3431sdrbr-mikroshema-texas-instruments-8043827819";"1";"1";"4";"6";"1";"4";"6";"330";"330";"330";"330";"1320";"1980";"2";"Москва";"2026-09-25";"На 4/6 остатка недостаточно; суммы расчётные";"2026-09-14"
"PROT-HY-CB";"HY2120-CB";"9000709204";"https://www.chipdip.ru/product/hy2120-cb-mikroshema-zaschity-li-ion-li-pol-hycon-9000709204";"1";"1";"4";"6";"1";"4";"6";"17";"17";"17";"17";"68";"102";"619";"Москва";"2026-09-18";"Нужны MOSFET и решение запуска после смены батареи";"2026-09-14"
"USB-GCT-ONE";"USB4105-GF-A";"9000729477";"https://www.chipdip.ru/product/usb4105-gf-a-razem-gct-9000729477";"1";"1";"4";"6";"1";"4";"6";"320";"320";"270";"320";"1280";"1620";"1";"Екатеринбург";"2026-09-21";"Гнездо без PCB; на 4/6 остатка нет, суммы условные";"2026-09-14"
"USB-GCT-TWO";"USB4105-GF-A";"8004532470";"https://www.chipdip.ru/product/usb4105-gf-a-gct-8004532470";"2";"1";"4";"6";"2";"4";"6";"230";"230";"170";"460";"920";"1020";"41";"Москва";"2026-09-21";"Альтернативное предложение того же гнезда, минимум 2";"2026-09-14"
"USB-GCT-FOUR";"USB4105-GF-A";"8020330945";"https://www.chipdip.ru/product/usb4105-gf-a-gct-8020330945";"4";"1";"4";"6";"4";"4";"6";"160";"160";"160";"640";"640";"960";"928";"Москва";"2026-09-21";"Альтернативное предложение того же гнезда, минимум 4";"2026-09-14"
"USB-LID-MAGNET";"Магнит 3.0x1.0 мм цилиндр Ni";"8011872821";"https://www.chipdip.ru/product/magnit-3.0x1.0-mm-tsilindr-ni-8011872821";"15";"4";"16";"24";"15";"16";"24";"24";"24";"24";"360";"384";"576";"90";"Москва";"2026-09-20";"Кандидат для крышки; класс, допуски и удержание не проверены; шаг заказа 1";"2026-09-14"
