ID;Деталь;Ссылка;Артикул;Количество_1;Количество_4;Количество_6;Цена_РУБ;Стоимость_1;Стоимость_4;Стоимость_6;Наличие;Совместимость;Дата_проверки
LOGIC-DIODE-02;MAX40200AUK+T SOT23-5, ЧИП и ДИП;https://www.chipdip.ru/product/max40200auk-t-mikroshema-idealnyy-diod-s-sverhnizkim-maxim-9000587524;9000587524;1;4;6;50;50;200;300;97 шт. Москва, MOQ1, Чебоксары самовывоз ориентировочно 18 сентября бесплатно;Кандидат XIAO-LOGIC-01 v0.2 вместо LM66100. Не заказан. Это цена одного IC, не платы. Параметры SOT23 отличаются от WLP в заголовке. Переходы и PCB не проверены, PCN2571C не прочитан;2026-09-15
CTRL-01;ESP32-C3 SuperMini, Voltiq;https://voltiq.ru/shop/esp32-c3-supermini-dev-board/;17A-2;1;4;6;580;580;2320;3480;"Ожидается; браузер";"Кандидат управления без камеры; ревизия, радиосвязь и посадка не проверены";2026-09-13
STEER-01;SG90, позиционный 180°, YourDuino;https://www.yourduino.ru/product/servoprivod-sg90-180-grad-2;C9-3001;1;4;6;240;240;960;1440;150 по карточке;"Класс серво из BOM zcar; размеры, люфт и ход проверить; вариант 360° не заменяет его";2026-09-13
POWER-01;Mini360, Voltiq;https://voltiq.ru/shop/step-down-converter-mini360-dc-dc/;22A-7;1;4;6;136;136;544;816;"77; браузер";"Кандидат DC-DC, настроить и проверить нагрузку; «3 А» не принимать за доказанный длительный ток";2026-09-13
CHARGE-01;IP2326, USB-C, 2S, PCUS;https://pcus.ru/moduli-pitaniya/plata-zaryada-s-zaschitoj-type-c-dlya-li-ion-batarej-2s;18650-2s;1;4;6;160;160;640;960;"Есть; браузер, количество не указано";"Только кандидат зарядника; ток и завершение заряда малой LiPo, балансировку и защиту проверить";2026-09-13
USB-01;USB-C на плате, 8 выводов, Voltiq;https://voltiq.ru/shop/usb-type-c-dip-adapter-8-pin/;53C-6;1;4;6;75;75;300;450;114 по карточке;"Заготовка для общего порта; не содержит зарядник, CC и распиновка не проверены";2026-09-13
BEARING-01;625ZZ, 5 × 16 × 5 мм, AVRobot;https://www.avrobot.ru/product_info.php?products_id=2476;2476;4;16;24;25;100;400;600;251 по карточке;"Размер из BOM zcar; посадки проверить на печати";2026-09-13
CAM-01;ESP32-CAM + OV3660, YourDuino;https://www.yourduino.ru/product/modul-esp32-cam-s-kameroy-ov2640-1600x1200-66;A0-07019;1;4;6;900;900;3600;5400;"5; браузер, для 6 не хватает";"Приоритетный сенсор для стенда, 30/60 FPS не подтверждены; программатор отдельно. Карточка противоречива, комплектацию проверить";2026-09-13
BENCH-ANT-01;RUICHI PCB P18 WIFI/2.4G IPEX-1 10cm;https://www.chipdip.ru/product/pcb-p18-wifi-2.4g-ipex-1-10cm-vnutrennyaya-ruichi-8030745314;8030745314;1;;;120;120;;;1 шт. Москва, 5 дней для региона Чебоксары по карточке;Кандидат стенда 2.4 ГГц 50 Ом IPEX-1 27x7 мм кабель 100 мм. Заявленные 5 dBi выше ориентира 2 dBi. Для серии не выбран;2026-09-13
CAM-S3-01;Seeed XIAO ESP32S3 Sense, Чип и Дип;https://www.chipdip.ru/product/113991115-development-boards-kits-arm-seeed-seeed-studio-8061923216;8061923216 / 113991115;1;;;2960;2960;;;5054 шт. со сроком 7-8 недель по открытой карточке;Резервная альтернатива для стенда. В карточке OV2640, поставка OV3660 не подтверждена. Доставка отдельно. Не суммировать с CAM-01;2026-09-13
