reference,value,purpose,footprint,selection
U403,TPS3808G33DBVR,"AUX supervisor, CT open: nominal 20ms reset release",,"Candidate; footprints, actuator and physical qualification pending"
U402,SN74LVC2G17DCKR,Schmitt buffers for open-drain fault bus and ARM,,"Candidate; footprints, actuator and physical qualification pending"
U401,SN74LVC1G74DCTR,"Positive-edge ARM, asynchronous fault clear; Q pin5 is permit",,"Candidate; footprints, actuator and physical qualification pending"
C403,100n / 16V,Local IC bypass; place at corresponding IC,,"Candidate; footprints, actuator and physical qualification pending"
C402,100n / 16V,Local IC bypass; place at corresponding IC,,"Candidate; footprints, actuator and physical qualification pending"
C401,100n / 16V,Local IC bypass; place at corresponding IC,,"Candidate; footprints, actuator and physical qualification pending"
R401,10k / 1%,Only pull-up for shared open-drain error bus,,"Candidate; footprints, actuator and physical qualification pending"
R402,10k / 1%,Default ARM LOW when MCU input floats,,"Candidate; footprints, actuator and physical qualification pending"
R403,47k / 1%,Pull-down at VCC=0 only; not brownout proof,,"Candidate; footprints, actuator and physical qualification pending"
J401,FROM AUX,Single source TPS709; no battery/raw USB,,"Candidate; footprints, actuator and physical qualification pending"
J402,FAULT SOURCES,External watchdog and OC: open drain only,,"Candidate; footprints, actuator and physical qualification pending"
J403,MCU INTERFACE,"ARM edge, open-drain revoke/readback, Q observation",,"Candidate; footprints, actuator and physical qualification pending"
J404,TO FUTURE GATE,Logical output only; no direct CD/CE or SOURCE_ALLOW,,"Candidate; footprints, actuator and physical qualification pending"
