reference,value,purpose,footprint,selection
U601,CH32V003F4P6,"USB source/charge MCU; GPIO names from allocation, no firmware yet",,"Candidate; firmware, PCB and electrical qualification pending"
U602,SN74LVC3G14DCTR,Three Schmitt inverters: released MCU pins default all requests LOW,,"Candidate; firmware, PCB and electrical qualification pending"
R601,10k / 1%,Pull-up at inverter input; MCU open drain only,,"Candidate; firmware, PCB and electrical qualification pending"
R602,10k / 1%,Pull-up at inverter input; MCU open drain only,,"Candidate; firmware, PCB and electrical qualification pending"
R603,10k / 1%,Pull-up at inverter input; MCU open drain only,,"Candidate; firmware, PCB and electrical qualification pending"
C601,100n / 16V,Local AUX bypass,,"Candidate; firmware, PCB and electrical qualification pending"
C602,1u / 16V,Local AUX bypass,,"Candidate; firmware, PCB and electrical qualification pending"
C603,100n / 16V,Local AUX bypass,,"Candidate; firmware, PCB and electrical qualification pending"
R604,10k / 1%,Debug reset pull-up; NRST option bytes still required,,"Candidate; firmware, PCB and electrical qualification pending"
J601,FROM USB AUX,Only U202 AUX source; never parallel programmer supply,,"Candidate; firmware, PCB and electrical qualification pending"
J602,TO PERMIT J403,Requires permit v0.4 R402=47k,,"Candidate; firmware, PCB and electrical qualification pending"
J603,TO WATCHDOG J502,No watchdog disable connection,,"Candidate; firmware, PCB and electrical qualification pending"
J604,SOURCE POLICY,Request only; CC/brownout policy before SOURCE_ALLOW still required,,"Candidate; firmware, PCB and electrical qualification pending"
J605,TO BC J303,No extra I2C or INT pull-ups,,"Candidate; firmware, PCB and electrical qualification pending"
J606,CC RESERVE,No raw CC pins; source detector interface pending,,"Candidate; firmware, PCB and electrical qualification pending"
J607,DEBUG LOGICAL,Not WCH-LinkE connector pinout; external-target power mode unverified,,"Candidate; firmware, PCB and electrical qualification pending"
J608,DIAGNOSTIC RESERVE,No raw battery or VBUS; divider/isolation not implemented,,"Candidate; firmware, PCB and electrical qualification pending"
