reference,pin,net
C1,1,VM
C1,2,DRIVE_GND
C2,1,VM
C2,2,DRIVE_GND
C3,1,WAVE_5V
C3,2,DRIVE_GND
C4,1,LDO_4V
C4,2,DRIVE_GND
C5,1,LDO_4V
C5,2,DRIVE_GND
C6,1,XIAO_BAT
C6,2,DRIVE_GND
H1,1,CMD_FI
H2,1,CMD_BI
H3,1,DRIVE_GND
H4,1,VM
H5,1,DRIVE_GND
H6,1,FO
H7,1,BO
H8,1,WAVE_5V
H9,1,XIAO_BAT
R1,1,CMD_FI
R1,2,FI
R2,1,CMD_BI
R2,2,BI
R3,1,FI
R3,2,DRIVE_GND
R4,1,BI
R4,2,DRIVE_GND
R5,1,LDO_4V
R5,2,FB
R6,1,FB
R6,2,DRIVE_GND
R7,1,LDO_4V
R7,2,DRIVE_GND
U1,1,BI
U1,2,FI
U1,3,DRIVE_GND
U1,4,VM
U1,5,FO
U1,6,FO
U1,7,BO
U1,8,BO
U2,1,LDO_4V
U2,2,NC
U2,3,FB
U2,4,DRIVE_GND
U2,5,WAVE_5V
U2,6,NC
U2,7,NC
U2,8,WAVE_5V
U2,9,DRIVE_GND
U3,1,LDO_4V
U3,2,DRIVE_GND
U3,3,LDO_4V
U3,4,NC
U3,5,XIAO_BAT
