reference,value,footprint,mpn_reference,status,price_rub
U1,TA6586 DIP8,RaceRemote_Motor:TA6586_DIP8,TA6586,Existing inventory,
R1,100 / 1%,RaceRemote_Motor:R_0805,,"Candidate, not purchased",
R3,10k / 1%,RaceRemote_Motor:R_0805,,"Candidate, not purchased",
R2,100 / 1%,RaceRemote_Motor:R_0805,,"Candidate, not purchased",
R4,10k / 1%,RaceRemote_Motor:R_0805,,"Candidate, not purchased",
C1,100n / 25V,RaceRemote_Motor:C_0805,,"Candidate, not purchased",
C2,470u / 16V,RaceRemote_Motor:CP_D8_P3.5,16ZLH470MEFC8X11.5,"Candidate, not purchased",
H1,CMD_FI,RaceRemote_Motor:WirePad_1mm,,"Integral PCB solder pad, not a purchased connector",
H2,CMD_BI,RaceRemote_Motor:WirePad_1mm,,"Integral PCB solder pad, not a purchased connector",
H3,DRIVE_GND,RaceRemote_Motor:WirePad_1mm,,"Integral PCB solder pad, not a purchased connector",
H4,VM,RaceRemote_Motor:WirePad_1mm,,"Integral PCB solder pad, not a purchased connector",
H5,DRIVE_GND,RaceRemote_Motor:WirePad_1mm,,"Integral PCB solder pad, not a purchased connector",
H6,FO,RaceRemote_Motor:WirePad_1mm,,"Integral PCB solder pad, not a purchased connector",
H7,BO,RaceRemote_Motor:WirePad_1mm,,"Integral PCB solder pad, not a purchased connector",
