reference,value,package_proposal,status,price_rub
U1,TPS73701DRBR,"DRB VSON8 + EP, 3x3mm","Candidate, not purchased",
U2,LM66100DCKR,DCK SC70-6,"Candidate, not purchased",
R1,23.2k / 0.1%,0805,"Candidate, not purchased",
R2,10k / 0.1%,0805,"Candidate, not purchased",
R3,360 / 1% / 0.25W,"1206, rating to verify","Candidate, not purchased",
R4,10k / 1%,0805,"Candidate, not purchased",
C1,4.7u / 10V X7R,0805; C2 effective >=1uF,"Candidate, not purchased",
C2,4.7u / 10V X7R,0805; C2 effective >=1uF,"Candidate, not purchased",
C3,100n / 10V X7R,0805; C2 effective >=1uF,"Candidate, not purchased",
C4,100n / 10V X7R,0805; C2 effective >=1uF,"Candidate, not purchased",
J1,WAVE_5V,,"Logical interface, not purchased connector",
J2,DRIVE_GND,,"Logical interface, not purchased connector",
J3,XIAO_BAT,,"Logical interface, not purchased connector",
J4,SERVICE_VBUS,,"Logical interface, not purchased connector",
J5,DRIVE_GND,,"Logical interface, not purchased connector",
