reference,pin,name,net
U1,8,IN,WAVE_5V
U1,5,EN,WAVE_5V
U1,2,NC,NC
U1,1,OUT,LDO_4V
U1,3,FB,FB
U1,6,NC,NC
U1,7,NC,NC
U1,4,GND,DRIVE_GND
U1,9,EP_GND,DRIVE_GND
U2,1,VDD,LDO_4V
U2,3,EN,LDO_4V
U2,4,NC,NC
U2,5,OUT,XIAO_BAT
U2,2,GND,DRIVE_GND
R1,1,~,LDO_4V
R1,2,~,FB
R2,1,~,FB
R2,2,~,DRIVE_GND
R3,1,~,LDO_4V
R3,2,~,DRIVE_GND
C1,1,~,WAVE_5V
C1,2,~,DRIVE_GND
C2,1,~,LDO_4V
C2,2,~,DRIVE_GND
C3,1,~,LDO_4V
C3,2,~,DRIVE_GND
C4,1,~,XIAO_BAT
C4,2,~,DRIVE_GND
J1,1,~,WAVE_5V
J2,1,~,DRIVE_GND
J3,1,~,XIAO_BAT
J5,1,~,DRIVE_GND
